Kline_open_time,Open_price,High_price,Low_price,Close_price,Volume,Kline_close_time,Quote_asset_volume,Number_of_trades,buy_base_volume,buy_quote_volume,ignore
1711182600000,64369.99000000,64446.63000000,64220.00000000,64420.00000000,217.33204000,1711183499999,13983978.05563420,12922,97.55889000,6278157.43340950,0
1711181700000,64552.87000000,64620.00000000,64365.63000000,64370.00000000,277.30027000,1711182599999,17889245.77146930,18331,102.55280000,6617519.76468790,0
1711180800000,64575.41000000,64857.14000000,64550.00000000,64552.87000000,354.24013000,1711181699999,22927385.95499450,20196,176.46893000,11424684.05570950,0
1711179900000,64647.98000000,64670.00000000,64500.97000000,64575.41000000,153.80053000,1711180799999,9928652.83383480,11620,68.58588000,4427355.85572320,0
1711179000000,64558.00000000,64719.06000000,64456.15000000,64647.98000000,222.45912000,1711179899999,14364059.44083930,16295,113.47788000,7327350.50153780,0
1711178100000,64503.70000000,64856.01000000,64430.00000000,64558.00000000,612.71790000,1711178999999,39635086.91000210,28146,342.92002000,22182635.03389770,0
1711177200000,64166.01000000,64648.78000000,64162.02000000,64503.69000000,471.41441000,1711178099999,30383330.68582770,24317,256.40413000,16526505.79679040,0
1711176300000,64180.00000000,64240.00000000,64050.00000000,64166.00000000,123.45577000,1711177199999,7919171.23435310,13232,51.36349000,3294856.52030960,0
1711175400000,64178.16000000,64289.98000000,64113.81000000,64180.01000000,158.50531000,1711176299999,10174917.87927130,14900,83.81118000,5380753.07981530,0
1711174500000,64040.00000000,64244.26000000,64040.00000000,64178.16000000,166.11692000,1711175399999,10655083.22096760,13774,97.97277000,6284190.51288600,0
1711173600000,64075.13000000,64120.00000000,63984.00000000,64040.00000000,224.27498000,1711174499999,14364536.34999550,14323,76.53692000,4902060.40877620,0
1711172700000,64070.68000000,64132.71000000,64004.20000000,64075.12000000,138.71837000,1711173599999,8887714.18118050,12037,75.07170000,4810277.94683830,0
1711171800000,63968.00000000,64100.98000000,63859.67000000,64070.68000000,185.18704000,1711172699999,11849064.47091850,15509,98.29938000,6290633.35647040,0
1711170900000,63844.25000000,64007.49000000,63836.15000000,63968.00000000,129.87561000,1711171799999,8305512.93087680,12235,74.73923000,4780036.23344860,0
1711170000000,63880.62000000,64020.00000000,63720.76000000,63844.25000000,152.06703000,1711170899999,9712320.97074350,15732,52.41210000,3347409.56701130,0
1711169100000,63988.90000000,64042.96000000,63850.00000000,63880.63000000,133.65848000,1711169999999,8547222.24890980,14184,47.86175000,3060749.74065360,0
1711168200000,63896.37000000,64090.00000000,63875.76000000,63988.90000000,215.07681000,1711169099999,13760601.84327800,15929,110.46472000,7067085.90670070,0
1711167300000,63774.17000000,64050.00000000,63774.17000000,63896.36000000,225.39237000,1711168199999,14400170.51084680,17512,121.59691000,7768683.38792050,0
1711166400000,63556.00000000,63999.99000000,63506.50000000,63774.18000000,360.50235000,1711167299999,22985397.24902490,25612,213.75417000,13632446.22336150,0
1711165500000,63355.99000000,63574.00000000,63203.29000000,63556.00000000,293.17119000,1711166399999,18600406.93529720,19375,158.60569000,10063767.71911790,0
1711164600000,63443.99000000,63444.00000000,63000.00000000,63356.00000000,470.87219000,1711165499999,29758180.93167560,29093,182.88661000,11557380.29914410,0
1711163700000,63769.99000000,63770.00000000,63398.85000000,63443.99000000,319.87362000,1711164599999,20323801.99968740,21319,98.42792000,6252047.24979150,0
1711162800000,63861.78000000,63866.00000000,63643.28000000,63770.00000000,228.41355000,1711163699999,14556261.64095950,16561,67.15573000,4278824.58666520,0
1711161900000,63838.19000000,63880.00000000,63743.75000000,63861.79000000,171.18004000,1711162799999,10925126.61030380,14215,72.41444000,4622116.89550170,0
1711161000000,63882.50000000,63900.00000000,63739.00000000,63838.18000000,206.61691000,1711161899999,13182564.90638050,14405,80.91885000,5162969.98367760,0
1711160100000,63963.06000000,64015.65000000,63815.54000000,63882.50000000,253.51581000,1711160999999,16206955.40652630,20018,104.22464000,6662464.63670310,0
1711159200000,64111.63000000,64374.91000000,63910.00000000,63963.06000000,535.22108000,1711160099999,34332155.30246430,26344,229.86769000,14749455.79675120,0
1711158300000,64074.50000000,64334.25000000,64031.18000000,64111.63000000,446.53434000,1711159199999,28670557.59136060,24270,215.55303000,13839282.38555320,0
1711157400000,63933.37000000,64156.18000000,63817.23000000,64074.49000000,569.97098000,1711158299999,36475718.42514260,25269,288.15395000,18441653.34723680,0
1711156500000,63798.29000000,64012.00000000,63710.00000000,63933.36000000,496.37075000,1711157399999,31696096.70639600,23054,282.93222000,18067457.55969020,0
1711155600000,63572.00000000,63859.51000000,63544.00000000,63798.29000000,386.83666000,1711156499999,24664203.54385920,18845,233.23196000,14872628.53077140,0
1711154700000,63694.01000000,63694.01000000,63536.30000000,63571.99000000,164.02650000,1711155599999,10433618.87829420,14322,81.01194000,5153628.37407200,0
1711153800000,63648.97000000,63788.23000000,63547.05000000,63694.00000000,284.40410000,1711154699999,18099430.99969080,18433,149.56799000,9518761.59395290,0
1711152900000,63662.70000000,63725.03000000,63553.96000000,63648.97000000,168.15105000,1711153799999,10700881.61423240,14155,69.16186000,4401223.13613080,0
1711152000000,63796.64000000,63804.00000000,63640.00000000,63662.71000000,357.12188000,1711152899999,22752484.10921190,20558,172.96656000,11019494.31276020,0
1711151100000,63447.48000000,63812.00000000,63391.28000000,63796.64000000,279.76998000,1711151999999,17785932.34881800,19098,179.37840000,11403259.04124240,0
1711150200000,63350.00000000,63484.24000000,63330.00000000,63447.49000000,205.41924000,1711151099999,13030264.51919990,14097,107.73757000,6833881.52815430,0
1711149300000,63286.00000000,63451.17000000,63221.00000000,63350.00000000,310.40648000,1711150199999,19660215.92875070,19076,163.47553000,10354595.55127200,0
1711148400000,63022.01000000,63325.04000000,62985.00000000,63286.00000000,328.11618000,1711149299999,20725058.86877150,24181,198.14709000,12514035.53601710,0
1711147500000,63092.27000000,63236.03000000,62804.22000000,63022.00000000,308.49080000,1711148399999,19438693.38785590,23262,148.00119000,9327707.65682030,0
1711146600000,62967.62000000,63176.37000000,62920.78000000,63092.26000000,447.96337000,1711147499999,28253981.95583190,25436,243.44969000,15353550.58695150,0
1711145700000,62928.46000000,62967.99000000,62553.96000000,62967.62000000,546.11344000,1711146599999,34255467.43799220,27473,241.55976000,15157866.69539200,0
1711144800000,62974.00000000,63041.24000000,62674.62000000,62928.46000000,527.86394000,1711145699999,33185266.74455600,24841,247.74905000,15573028.69094180,0
1711143900000,62684.50000000,63029.95000000,62392.77000000,62974.00000000,706.80949000,1711144799999,44379194.06965540,30757,351.24128000,22057817.08640680,0
1711143000000,63088.00000000,63130.32000000,62260.00000000,62684.50000000,1223.52301000,1711143899999,76602881.62438320,51198,419.94272000,26283521.62338970,0
1711142100000,63099.98000000,63228.22000000,62832.20000000,63088.01000000,606.01205000,1711142999999,38214402.30842960,26325,256.11691000,16154341.74170420,0
1711141200000,63501.67000000,63517.15000000,63066.43000000,63099.98000000,364.06994000,1711142099999,23032379.89978850,21194,141.49084000,8949664.86898030,0
1711140300000,63555.01000000,63600.00000000,63355.85000000,63501.66000000,272.52154000,1711141199999,17294549.37618500,17502,120.12226000,7623136.25246380,0
1711139400000,63580.00000000,63672.37000000,63541.98000000,63555.00000000,170.02420000,1711140299999,10812261.68383900,13940,75.40741000,4795226.22388320,0
1711138500000,63497.83000000,63765.97000000,63497.82000000,63580.00000000,254.17602000,1711139399999,16174716.40704120,15599,121.61497000,7738976.70036360,0
1711137600000,63866.94000000,63978.86000000,63480.00000000,63497.82000000,448.35998000,1711138499999,28574964.48232540,24656,195.65629000,12469742.85286470,0
1711136700000,63858.66000000,64126.09000000,63772.43000000,63866.93000000,837.91823000,1711137599999,53636619.41025710,29640,464.95338000,29755188.68666390,0
1711135800000,63614.96000000,63888.45000000,63560.51000000,63858.66000000,331.21026000,1711136699999,21124887.95582370,19394,171.26418000,10922367.47045280,0
1711134900000,63529.23000000,63680.29000000,63440.29000000,63614.96000000,350.61686000,1711135799999,22287584.01321610,18809,181.78190000,11555444.34718890,0
1711134000000,63745.84000000,63839.21000000,63502.72000000,63529.23000000,393.41579000,1711134899999,25061432.93347460,23169,193.37643000,12319059.78570830,0
1711133100000,63687.27000000,63892.12000000,63664.72000000,63745.83000000,373.52057000,1711133999999,23818508.76459140,20763,170.31379000,10859333.12169620,0
1711132200000,63609.92000000,63974.12000000,63540.00000000,63687.27000000,527.61655000,1711133099999,33666820.03889630,24623,238.31376000,15205473.02152560,0
1711131300000,63594.66000000,63656.61000000,63440.00000000,63609.93000000,251.59672000,1711132199999,15983997.54894350,18267,126.69987000,8048683.17128940,0
1711130400000,63579.36000000,63900.00000000,63500.00000000,63594.66000000,472.62460000,1711131299999,30115754.70873350,24120,238.45813000,15197699.32839200,0
1711129500000,63697.57000000,63753.17000000,63535.05000000,63579.37000000,267.06515000,1711130399999,16993775.15747890,21104,124.39555000,7914827.46481650,0
1711128600000,63407.43000000,63743.28000000,63349.80000000,63697.57000000,347.56355000,1711129499999,22108022.13899660,21424,186.95674000,11889660.92183420,0
1711127700000,63411.87000000,63610.00000000,63330.00000000,63407.43000000,418.98384000,1711128599999,26599635.95100400,23545,196.22248000,12458125.41699930,0
1711126800000,63270.61000000,63770.91000000,63260.01000000,63411.88000000,844.17439000,1711127699999,53601116.51563900,37733,438.06989000,27813305.31933230,0
1711125900000,63139.93000000,63413.38000000,62766.63000000,63270.62000000,838.63021000,1711126799999,52903454.24753460,33088,374.69239000,23646845.48862300,0
1711125000000,63500.22000000,63518.16000000,62973.18000000,63139.94000000,844.90613000,1711125899999,53360875.90857370,32284,390.34371000,24648931.20721600,0
1711124100000,63650.88000000,63759.14000000,63214.03000000,63500.22000000,606.21184000,1711124999999,38454144.68971490,27327,312.80058000,19842479.31327390,0
1711123200000,63877.04000000,63883.97000000,63320.00000000,63650.88000000,767.09219000,1711124099999,48763040.45423960,36168,358.33331000,22778967.22434020,0
1711122300000,63911.77000000,64150.00000000,63781.84000000,63877.04000000,637.74827000,1711123199999,40800637.76411160,28370,315.27313000,20172007.13116800,0
1711121400000,64087.27000000,64341.89000000,63669.41000000,63911.77000000,1270.72369000,1711122299999,81315707.41360300,50010,675.35613000,43220034.58831730,0
1711120500000,63305.69000000,64096.35000000,63133.60000000,64087.28000000,1121.76617000,1711121399999,71359186.77495530,42598,663.56887000,42223005.40655730,0
1711119600000,62739.99000000,63560.00000000,62634.58000000,63305.69000000,1065.45209000,1711120499999,67292377.02691370,37935,632.23915000,39940141.30403300,0
1711118700000,62917.62000000,63088.48000000,62601.11000000,62739.99000000,1019.13330000,1711119599999,64026810.59298680,36259,438.18085000,27530565.52252280,0
1711117800000,63083.86000000,63280.00000000,62850.01000000,62917.62000000,790.39114000,1711118699999,49866426.70799680,32883,383.55090000,24201039.86177940,0
1711116900000,63048.95000000,63300.00000000,62700.02000000,63083.86000000,1374.20055000,1711117799999,86564645.79167130,54056,631.34917000,39771928.07707100,0
1711116000000,63058.61000000,63465.30000000,63018.35000000,63048.95000000,1291.28625000,1711116899999,81680035.70231390,46851,621.84592000,39332950.74673890,0
1711115100000,63630.01000000,63684.00000000,62820.00000000,63058.61000000,2116.59758000,1711115999999,133781743.98557240,68917,916.50371000,57937758.86946890,0
1711114200000,64196.00000000,64238.74000000,63542.85000000,63630.00000000,1492.70161000,1711115099999,95156601.16870760,48575,709.36362000,45216735.72433420,0
1711113300000,64089.99000000,64322.00000000,63800.00000000,64196.00000000,702.60200000,1711114199999,45025427.48691600,31896,325.53199000,20866327.24111470,0
1711112400000,64260.51000000,64433.27000000,64060.28000000,64090.00000000,467.64494000,1711113299999,30046247.15294050,26743,232.19129000,14922155.08067750,0
1711111500000,64555.52000000,64555.53000000,64235.88000000,64260.51000000,408.28520000,1711112399999,26283083.87337840,20297,156.86068000,10097645.99571980,0
1711110600000,64493.99000000,64560.00000000,64228.34000000,64555.53000000,401.65771000,1711111499999,25873690.95628250,22346,181.64074000,11701578.47636690,0
1711109700000,64518.00000000,64585.99000000,64310.71000000,64494.00000000,540.55985000,1711110599999,34849730.00730010,23070,222.20853000,14325111.95446140,0
1711108800000,64233.90000000,64674.06000000,63924.42000000,64518.00000000,1078.28649000,1711109699999,69381675.89483620,45002,555.87236000,35782082.09736440,0
1711107900000,64717.61000000,64763.90000000,64065.72000000,64233.90000000,1033.71599000,1711108799999,66491519.57853470,39446,421.89071000,27127592.06086910,0
1711107000000,64833.00000000,64940.00000000,64620.52000000,64717.60000000,403.68770000,1711107899999,26141754.88323470,21048,194.05471000,12565483.70908620,0
1711106100000,64838.32000000,64956.00000000,64720.00000000,64833.00000000,460.47332000,1711106999999,29851489.56934680,26320,201.63334000,13072303.51418980,0
1711105200000,64656.37000000,64894.00000000,64532.00000000,64838.31000000,638.81011000,1711106099999,41355146.41913920,29032,299.04161000,19364363.40334910,0
1711104300000,64863.99000000,64996.61000000,64540.01000000,64656.37000000,593.34748000,1711105199999,38429262.89886000,32013,247.14976000,16009491.06018580,0
1711103400000,64851.62000000,64966.92000000,64619.95000000,64863.99000000,620.98266000,1711104299999,40255467.96179250,37321,304.47000000,19739651.14905980,0
1711102500000,65163.99000000,65283.57000000,64666.00000000,64851.62000000,1091.64801000,1711103399999,70949045.36101390,44452,475.86354000,30928126.20520980,0
1711101600000,65482.00000000,65600.00000000,65158.00000000,65163.99000000,581.57869000,1711102499999,38010320.42723960,26494,234.08187000,15304286.47528560,0
1711100700000,65440.85000000,65551.71000000,65344.41000000,65481.99000000,428.77047000,1711101599999,28061553.48867620,23264,183.59363000,12015977.63751780,0
1711099800000,65937.52000000,65955.15000000,65384.86000000,65440.85000000,696.33512000,1711100699999,45687570.68775220,29832,284.31264000,18652151.23624440,0
1711098900000,65960.00000000,66053.70000000,65936.01000000,65937.52000000,181.61150000,1711099799999,11984907.71500410,15799,82.55872000,5448552.53932780,0
1711098000000,65858.68000000,66042.00000000,65856.38000000,65959.99000000,242.43498000,1711098899999,15994810.46253770,15964,121.47763000,8014739.42697350,0
1711097100000,65932.00000000,66069.24000000,65805.23000000,65858.68000000,448.71990000,1711097999999,29584208.17096860,20230,224.12526000,14777013.34179390,0
1711096200000,66264.40000000,66300.00000000,65861.26000000,65932.00000000,413.84412000,1711097099999,27336994.27826340,23551,172.42655000,11389421.05327130,0
1711095300000,66287.92000000,66363.10000000,66170.00000000,66264.41000000,255.19229000,1711096199999,16911949.57359240,16170,135.20727000,8960583.35353260,0
1711094400000,66178.01000000,66287.92000000,66146.37000000,66287.92000000,273.61174000,1711095299999,18116127.87923230,19227,167.50216000,11090769.85163490,0
